"_time","sapma"
2022-09-23 00:00:00,0.763
2022-09-23 00:01:00,1.07
2022-09-23 00:02:00,1.06
2022-09-23 00:03:00,1.01
2022-09-23 00:04:00,0.988
2022-09-23 00:05:00,1.09
2022-09-23 00:06:00,1.11
2022-09-23 00:07:00,1.18
2022-09-23 00:08:00,1.04
2022-09-23 00:09:00,1.09
2022-09-23 00:10:00,1.00
2022-09-23 00:11:00,0.955
2022-09-23 00:12:00,0.994
2022-09-23 00:13:00,0.936
2022-09-23 00:14:00,0.951
2022-09-23 00:15:00,1.28
2022-09-23 00:16:00,1.16
2022-09-23 00:17:00,1.05
2022-09-23 00:18:00,0.985
2022-09-23 00:19:00,0.918
2022-09-23 00:20:00,0.867
2022-09-23 00:21:00,0.957
2022-09-23 00:22:00,0.934
2022-09-23 00:23:00,0.930
2022-09-23 00:24:00,0.919
2022-09-23 00:25:00,0.911
2022-09-23 00:26:00,0.919
2022-09-23 00:27:00,0.957
2022-09-23 00:28:00,0.980
2022-09-23 00:29:00,0.946
2022-09-23 00:30:00,1.03
2022-09-23 00:31:00,1.00
2022-09-23 00:32:00,0.950
2022-09-23 00:33:00,0.979
2022-09-23 00:34:00,1.03
2022-09-23 00:35:00,0.957
2022-09-23 00:36:00,1.02
2022-09-23 00:37:00,0.929
2022-09-23 00:38:00,0.876
2022-09-23 00:39:00,1.01
2022-09-23 00:40:00,0.903
2022-09-23 00:41:00,0.900
2022-09-23 00:42:00,0.900
2022-09-23 00:43:00,1.05
2022-09-23 00:44:00,0.968
2022-09-23 00:45:00,0.974
2022-09-23 00:46:00,0.997
2022-09-23 00:47:00,0.908
2022-09-23 00:48:00,0.959
2022-09-23 00:49:00,0.920
2022-09-23 00:50:00,0.946
2022-09-23 00:51:00,0.965
2022-09-23 00:52:00,0.964
2022-09-23 00:53:00,0.979
2022-09-23 00:54:00,0.960
2022-09-23 00:55:00,0.935
2022-09-23 00:56:00,1.18
2022-09-23 00:57:00,0.995
2022-09-23 00:58:00,0.947
2022-09-23 00:59:00,0.983
2022-09-23 01:00:00,0.976
2022-09-23 01:01:00,0.985
2022-09-23 01:02:00,0.991
2022-09-23 01:03:00,0.977
2022-09-23 01:04:00,0.889
2022-09-23 01:05:00,0.952
2022-09-23 01:06:00,0.946
2022-09-23 01:07:00,1.00
2022-09-23 01:08:00,0.955
2022-09-23 01:09:00,0.966
2022-09-23 01:10:00,0.983
2022-09-23 01:11:00,0.978
2022-09-23 01:12:00,0.898
2022-09-23 01:13:00,0.955
2022-09-23 01:14:00,1.01
2022-09-23 01:15:00,1.03
2022-09-23 01:16:00,1.00
2022-09-23 01:17:00,0.943
2022-09-23 01:18:00,1.01
2022-09-23 01:19:00,1.04
2022-09-23 01:20:00,0.951
2022-09-23 01:21:00,0.927
2022-09-23 01:22:00,0.907
2022-09-23 01:23:00,0.970
2022-09-23 01:24:00,1.02
2022-09-23 01:25:00,0.944
2022-09-23 01:26:00,1.01
2022-09-23 01:27:00,0.990
2022-09-23 01:28:00,0.986
2022-09-23 01:29:00,0.982
2022-09-23 01:30:00,0.975
2022-09-23 01:31:00,0.926
2022-09-23 01:32:00,0.986
2022-09-23 01:33:00,0.946
2022-09-23 01:34:00,0.921
2022-09-23 01:35:00,0.940
2022-09-23 01:36:00,0.927
2022-09-23 01:37:00,0.957
2022-09-23 01:38:00,1.00
2022-09-23 01:39:00,0.973
2022-09-23 01:40:00,0.975
2022-09-23 01:41:00,0.927
2022-09-23 01:42:00,0.952
2022-09-23 01:43:00,1.01
2022-09-23 01:44:00,0.946
2022-09-23 01:45:00,1.00
2022-09-23 01:46:00,1.02
2022-09-23 01:47:00,0.968
2022-09-23 01:48:00,1.02
2022-09-23 01:49:00,0.943
2022-09-23 01:50:00,0.877
2022-09-23 01:51:00,0.920
2022-09-23 01:52:00,1.01
2022-09-23 01:53:00,0.879
2022-09-23 01:54:00,1.00
2022-09-23 01:55:00,0.958
2022-09-23 01:56:00,0.940
2022-09-23 01:57:00,0.935
2022-09-23 01:58:00,0.955
2022-09-23 01:59:00,0.935
2022-09-23 02:00:00,0.912
2022-09-23 02:01:00,1.01
2022-09-23 02:02:00,1.07
